budget,popularity,vote_count,revenue
140000000,58.485967,2482,553799566
140000000,91.332849,3114,441818803
70000000,35.601665,841,195735876
145000000,56.747978,1603,521170825
145000000,77.77477,3972,694713380
145000000,61.788035,1922,306941670
100000000,25.159168,627,202026112
140000000,52.341226,1895,456758981
140000000,101.599427,1921,268031828
150000000,73.616808,4518,385680446
139000000,82.502566,5265,821708551
145000000,100.21391,3106,609123048
140000000,56.257249,1277,150680864
135000000,17.88953,331,76932943
130000000,64.798873,2811,185258983
140000000,24.855701,767,285444603
137000000,34.981698,1533,245360480
130000000,59.325589,3025,371876278
130000000,21.605568,434,119269486
137000000,26.074908,433,85131830
140000000,74.506246,7047,370569774
135000000,39.604363,862,361832400
150000000,36.973031,790,212011111
120000000,99.687084,2553,829000000
130000000,17.7735,373,150406466
150000000,62.898336,3021,163712074
140000000,44.19092,1000,183345589
135000000,100.635882,6396,532950503
135000000,44.765377,1074,282570682
135000000,29.91353,2051,245724603
132000000,84.366984,1346,373552094
70000000,45.381501,2888,442824138
130000000,84.689648,3145,631744560
130000000,120.09361,5880,519311965
130000000,76.310119,6495,847423452
135000000,63.473086,1519,368871007
132000000,48.572726,2322,591739379
130000000,38.068736,1564,273339556
130000000,20.678787,451,554987477
110000000,48.829437,2093,293329073
125000000,46.115758,2350,362637473
130000000,89.938296,2061,371940071
130000000,79.679601,5877,789804554
130000000,28.840997,694,49554002
130000000,42.840582,2532,243843127
127500000,26.548594,542,354248063
127000000,115.597753,1851,349424282
130000000,68.757242,1918,321887208
125000000,109.984351,7006,976475550
130000000,39.448066,1260,61648500
140000000,271.972889,6985,655011224
125000000,206.227151,5584,752100229
125000000,45.313197,2704,767820459
103000000,42.40024,978,500188435
110000000,2.871739,3506,407711549
125000000,7.255718,2438,626137675
125000000,81.499621,3886,334615000
125000000,47.686442,2233,232713139
65000000,43.129703,1710,261317921
160000000,27.220157,510,61698899
130000000,90.33681,2651,276572938
125000000,50.073575,1418,238207122
123000000,45.419668,1386,345141403
125000000,41.380094,2392,544272402
125000000,54.931334,1928,546388105
120000000,25.752118,597,325756637
130000000,60.810723,2589,289047763
120000000,51.328145,5797,609016565
110000000,46.834704,1712,228738393
120000000,62.641286,2341,415484914
120000000,33.616115,914,259175788
130000000,68.889395,5080,403170142
120000000,27.990284,613,169956806
115000000,67.33767,3439,286140700
105000000,27.835436,1570,115772733
120000000,66.757869,2342,242688965
120000000,17.060695,354,93945766
120000000,11.137655,223,48668907
117000000,44.906918,1547,261930431
120000000,67.698004,4800,286168572
113000000,44.108427,4116,850000000
120000000,43.987061,3992,649398328
115000000,106.815545,5996,562816256
120000000,15.953444,4053,415440673
115000000,54.035265,4432,924317558
135000000,64.183321,2399,585178928
97250400,20.344364,471,132900000
115000000,18.714197,341,77628265
115000000,60.467984,1523,164602163
125000000,143.350376,2636,477200000
105000000,110.153618,5751,716392705
116000000,16.90444,428,178127760
135000000,39.873791,963,245623848
120000000,38.126095,2278,167977596
110000000,48.780039,2862,574480841
110000000,100.412364,2968,470490832
110000000,42.887121,925,333011068
110000000,23.657284,1099,215294342
110000000,76.840712,2124,362744280
110000000,44.635452,2965,478207520
110000000,103.718387,3829,295238201
116000000,45.616098,1489,102000000
